PATENT_ID	PATENT_CODE
EP2842582A2	A61L 29/12
EP2838373A2	A23G 4/02
EP2842968A1	C07K 16/24
EP2844252A1	C07D 417/14
US20150037423A1	A61K 9/28
US20150065543A1	C07D 513/14
US20150081017A1	A61F 2/82
US20150087629A1	C07D 211/60
US20150073034A1	C12N 15/113
US8940056B2	A61F 2/04
US8952007B2	C07D 215/227
US8975409B2	C07D 211/22
US8980364B2	B05D 3/04
WO2015038571A1	C07D 405/04
EP2152270B1	A61K 31/4965
EP2827869A2	A61K 31/497
EP2846798A2	C07D 471/20
US20150005244A1	C07D 409/10
US20150030709A1	A61K 36/185
US20150080451A1	C07D 333/10
US20150079099A1	C07K 16/24
US8933229B2	C07D 451/02
US8946228B2	A61K 31/4965
US8946159B2	A61K 38/00
US8986728B2	A61F 2/00
US8992512B2	A61K 9/22
US8975439B2	C07C 311/16
WO2015006829A1	A61K 31/7076
WO2015023557A1	A61M 37/00
WO2015013169A2	A61K 47/48
EP2556831B1	A61K 31/519
EP2822539A2	A61K 9/16
EP2822504A1	A61F 2/06
US20150004232A1	A61K 9/16
EP2842591A2	A61M 25/00
US20150005232A1	C07D 498/04
US20150030654A1	A61L 31/16
US20150011466A1	C07K 7/08
US20150045351A1	C07D 495/06
US20150087672A1	C07D 491/048
US20150071908A1	C07C 69/33
US8932561B2	A61K 49/04
US8927023B2	A61K 47/30
US8968770B2	A61K 9/68
US8952034B2	A01N 43/42
US8980893B2	NOT FOUND
EP2824110A1	C07K 5/083
US20150037347A1	A61K 39/395
US20150057259A1	A61K 9/70
US20150057325A1	A61K 31/5585
US20150064271A1	A61K 35/74
US8962545B2	C07D 413/12
US8945508B2	A61K 51/00
US8956575B2	B01J 19/00
US8961588B2	A61L 33/00
US8969622B2	A61K 31/00
WO2015028666A1	C07K 16/24
EP2298352B1	A61K 47/20
EP2848622A1	C07D 491/048
EP2849792A1	A61K 47/10
US20150044286A1	A61K 9/20
US20150079103A1	C07K 16/24
US8937055B2	A01N 57/00
EP1911472B1	A61L 31/06
EP2836236A1	A61K 47/42
EP2829265A2	A61K 9/00
US20150004165A1	C07K 14/47
US20150037905A1	G01N 33/561
US20150051143A1	A61K 31/232
US20150051234A1	A61K 31/505
US20150065944A1	A61B 18/14
US20150080453A1	C12N 15/113
US20150079170A1	A61K 9/28
US8933111B2	A01N 43/64
US8946191B2	A61K 31/737
US8961974B2	A61K 39/395
US8969363B2	A61K 31/519
US8986696B2	A61K 36/23
US8987248B2	NOT FOUND
US8980907B2	A61K 31/5513
WO2015013363A2	A61K 48/00
EP2310500B1	C12N 15/87
EP2454250B1	C07D 401/12
EP2480178B1	A61F 2/90
EP2838516A1	A61K 9/20
EP2851064A2	A61K 9/00
EP2848208A2	A61B 17/128
EP2846823A1	A61K 38/00
EP2844232A1	A61K 9/20
US20150031679A1	C07D 241/44
US20150064243A1	A61K 47/22
US20150086603A1	A61L 31/06
US20150072994A1	A61K 31/496
US8937099B2	A01N 37/12
US8936826B2	A61L 33/00
US8969626B2	C07C 49/20
US8987323B2	A01N 43/16
WO2015031756A1	A61K 31/06
WO2015013167A1	C07K 14/47
US20150010638A1	A61K 9/50
US20150025397A1	A61B 5/0215
US8940690B2	A61K 38/28
US8957069B2	A61K 31/496
US8946284B2	A61K 31/4045
US8992993B2	A61K 9/14
EP2832734A1	C07D 401/04
EP2832357A1	A61K 31/4174
EP2556856B1	A61P 9/00
EP2821084A1	A61K 47/02
US20150031716A1	C07D 471/04
US20150010640A1	A61K 47/48
US20150011602A1	A61K 31/4025
US20150024048A1	A61K 9/20
US20150057322A1	C07D 207/50
US20150051690A1	A61F 2/82
US20150050255A1	A61K 35/74
US20150087641A1	C07D 498/04
US20150079160A1	A61L 29/08
US8933083B2	C07D 239/48
US8927660B2	A61L 31/10
US8946405B2	A61K 47/48
US8992573B2	A61B 17/04
WO2015034822A1	A61K 9/14
EP2139316B1	A61K 45/06
EP1937229B1	A61K 9/72
EP2834238A1	C07D 471/04
EP2825159A1	A61K 9/16
EP2838906A1	C07F 9/40
EP2851097A2	A61L 31/16
EP2848243A1	A61K 9/14
US20150011549A1	C07D 413/14
US8940271B2	A61K 31/4178
US8932621B2	A61B 17/08
US8946142B2	A61K 38/00
US8957109B2	A61K 31/37
US8992970B2	A61K 9/127
US8991607B2	B65D 83/04
US8987244B2	A61K 38/00
US8986775B2	A61L 33/00
US8986729B2	A61K 47/00
WO2015034846A1	A61K 31/485
WO2015039126A1	A61K 39/395
WO2015022400A1	A61K 47/48
WO2015026135A1	C12Q 1/68
EP2326349B1	A61K 47/48
WO2015042101A1	C12N 15/87
EP1876179B1	C07D 495/04
EP2832725A1	C07D 211/60
EP2836172A1	A61F 2/86
EP2646006B1	A61K 9/70
US20150004252A1	C12Q 1/68
EP2838914A1	C07K 14/575
EP2846792A1	A61K 31/336
US20150031704A1	A61K 31/519
US20150025110A1	C07D 401/10
US20150030652A1	A61L 31/10
US20150011423A1	G01N 33/50
US8962682B2	A01N 37/00
US8951742B2	G01N 33/53
US8987473B2	C07D 471/04
WO2014023421A9	A61K 9/127
WO2015004105A1	C07D 519/04
EP2098513B1	C07D 231/54
EP1909853B1	A61B 6/00
EP2834642A1	G01N 33/58
EP2850079A1	C07D 405/12
