SCHEMBL_ID	InChIKey	PUBCHEM_CID	CHEMBL_ID
SCHEMBL4	FAKRSMQSSFJEIM-RQJHMYQMSA-N	44093	CHEMBL1560
SCHEMBL9	OYFJQPXVCSSHAI-QFPUQLAESA-N	5388961	CHEMBL1200659
SCHEMBL18	GBXSMTUPTTWBMN-XIRDDKMYSA-N	5388962	CHEMBL578
SCHEMBL23	PFGWGEPQIUAZME-NXSMLHPHSA-N	6324663	CHEMBL938
SCHEMBL34	JOXIMZWYDAKGHI-UHFFFAOYSA-N	6101	CHEMBL541253
SCHEMBL60	PSIFNNKUMBGKDQ-UHFFFAOYSA-N	3961	
SCHEMBL63	OMPJBNCRMGITSC-UHFFFAOYSA-N	7187	CHEMBL1200370
SCHEMBL64	XKJCHHZQLQNZHY-UHFFFAOYSA-N	6809	CHEMBL277294
SCHEMBL66	WURBFLDFSFBTLW-UHFFFAOYSA-N	8651	CHEMBL189886
SCHEMBL67	RMVRSNDYEFQCLF-UHFFFAOYSA-N	7969	CHEMBL119405
SCHEMBL101	RIOQSEWOXXDEQQ-UHFFFAOYSA-N	11776	CHEMBL1448331
SCHEMBL103	IZJDCINIYIMFGX-UHFFFAOYSA-N	69743	
SCHEMBL106	SBDNJUWAMKYJOX-UHFFFAOYSA-N	4037	CHEMBL509
SCHEMBL120	OZAIFHULBGXAKX-VAWYXSNFSA-N	nan	
SCHEMBL121	FLZDRQXGVYVYSL-VAWYXSNFSA-N	nan	
SCHEMBL122	OZAIFHULBGXAKX-UHFFFAOYSA-N	6547	CHEMBL1886625
SCHEMBL145	ISAOCJYIOMOJEB-UHFFFAOYSA-N	8400	CHEMBL190677
SCHEMBL147	WVDDGKGOMKODPV-UHFFFAOYSA-N	244	CHEMBL720
SCHEMBL158	UDHAWRUAECEBHC-UHFFFAOYSA-N	12207	
SCHEMBL172	OAYLNYINCPYISS-UHFFFAOYSA-N	21226206	
SCHEMBL184	ASOKPJOREAFHNY-UHFFFAOYSA-N	75771	CHEMBL1389920
SCHEMBL189	VHYFNPMBLIVWCW-UHFFFAOYSA-N	14284	CHEMBL3561645
SCHEMBL205	UENWRTRMUIOCKN-UHFFFAOYSA-N	7509	CHEMBL1224557
SCHEMBL206	LUFPJJNWMYZRQE-UHFFFAOYSA-N	10867	CHEMBL1369381
SCHEMBL220	LGRFSURHDFAFJT-UHFFFAOYSA-N	6811	CHEMBL1371297
SCHEMBL223	WLPATYNQCGVFFH-UHFFFAOYSA-N	141162	CHEMBL4102851
SCHEMBL225	DXSZKDOOHOBZMT-UHFFFAOYSA-N	2735662	
SCHEMBL228	QRXWMOHMRWLFEY-UHFFFAOYSA-N	3767	CHEMBL64
SCHEMBL229	DMBHHRLKUKUOEG-UHFFFAOYSA-N	11487	CHEMBL38688
SCHEMBL235	WXPWZZHELZEVPO-UHFFFAOYSA-N	8652	CHEMBL371531
SCHEMBL236	CKGKXGQVRVAKEA-UHFFFAOYSA-N	67230	
SCHEMBL257	RTSGJTANVBJFFJ-UHFFFAOYSA-N	72794	CHEMBL1897807
SCHEMBL261	OPNPQXLQERQBBV-UHFFFAOYSA-N	6488	CHEMBL1697828
